URL,title,details
/Movie Scripts/10 Things I Hate About You Script.html,10 Things I Hate About You Script.,"{'writers': ['Karen McCullah Lutz', 'Kirsten Smith', 'William Shakespeare'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Romance'], 'script_date': 'November 1997', 'release_date': None}"
/Movie Scripts/12 Script.html,12 Script.,"{'writers': ['Lawrence Bridges'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy'], 'script_date': None, 'release_date': None}"
/Movie Scripts/12 and Holding Script.html,12 and Holding Script.,"{'writers': ['Anthony Cipriano'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': 'April 2004', 'release_date': 'May 2006'}"
/Movie Scripts/12 Monkeys Script.html,12 Monkeys Script.,"{'writers': ['David Peoples', 'Janet Peoples'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Sci-Fi', 'Thriller'], 'script_date': 'June 1994', 'release_date': None}"
/Movie Scripts/12 Years a Slave Script.html,12 Years a Slave Script.,"{'writers': ['John Ridley'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': None, 'release_date': 'November 2013'}"
/Movie Scripts/127 Hours Script.html,127 Hours Script.,"{'writers': ['Simon Beaufoy', 'Danny Boyle'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Adventure', 'Drama', 'Thriller'], 'script_date': None, 'release_date': 'November 2010'}"
/Movie Scripts/1492: Conquest of Paradise Script.html,1492: Conquest of Paradise Script.,"{'writers': ['Roslyne Bosch'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Adventure', 'Drama'], 'script_date': 'September 1991', 'release_date': None}"
/Movie Scripts/15 Minutes Script.html,15 Minutes Script.,"{'writers': ['John Hertzfield'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Crime', 'Thriller'], 'script_date': None, 'release_date': None}"
/Movie Scripts/17 Again Script.html,17 Again Script.,"{'writers': ['Jason Filardi'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Drama', 'Romance'], 'script_date': 'October 2007', 'release_date': 'April 2009'}"
/Movie Scripts/187 Script.html,187 Script.,"{'writers': ['Scott Yagemann'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': 'November 1996', 'release_date': None}"
